ACC0000001   430112.06  0.004667  1N
ACC0000002   165344.14  0.005841  8N
ACC0000003   455125.33  0.011266 34Y
ACC0000004   284146.94  0.003833  1Y
ACC0000005   157136.08  0.008799 38Y
ACC0000006   134437.68  0.011008 41N
ACC0000007   282534.98  0.005811 28N
ACC0000008     5361.24  0.011457 10N
ACC0000009   229338.25  0.006414  9N
ACC0000010   226884.77  0.004572  5N
ACC0000011   241906.98  0.007107 38N
ACC0000012    30159.09  0.011152 29N
ACC0000013   255030.12  0.004326 35N
ACC0000014   422873.02  0.009986 23N
ACC0000015   473830.15  0.004229  2N
ACC0000016   195204.97  0.004337 14N
ACC0000017   256098.39  0.006415 29N
ACC0000018   245834.73  0.005206 23N
ACC0000019   450746.94  0.006299 44N
ACC0000020   435889.18  0.004249 38N
ACC0000021    359455.2  0.011145 15Y
ACC0000022   255648.23  0.006331 40N
ACC0000023   148381.24  0.010679 20N
ACC0000024    38539.32  0.005902  2N
ACC0000025   270217.13  0.006307  4N
ACC0000026   381628.08  0.011028 20N
ACC0000027   336028.42  0.007648 41N
ACC0000028   178758.07  0.004964 15N
ACC0000029   362701.53  0.006255 37N
ACC0000030   392602.31  0.007688 23N
ACC0000031    93832.86  0.008843 31Y
ACC0000032    32619.26  0.004650  9N
ACC0000033   457663.21  0.007927 38Y
ACC0000034   257100.36  0.009748 29N
ACC0000035   372263.61  0.003620 43N
ACC0000036   458488.08  0.009131 17N
ACC0000037   229287.89  0.004670 18N
ACC0000038   305488.82  0.003534 16N
ACC0000039   120891.24  0.008823  6N
ACC0000040    201282.9  0.010200 32N
ACC0000041   103568.69  0.007421 10N
ACC0000042   356914.32  0.003506 38N
ACC0000043    14070.62  0.004673 23N
ACC0000044   207369.23  0.006011  3N
ACC0000045   381746.79  0.004326  5N
ACC0000046    47447.73  0.011475 34N
ACC0000047    87162.05  0.010418 30N
ACC0000048   111814.82  0.006279 33N
ACC0000049   284963.06  0.005721 34N
ACC0000050   463962.33  0.005609 45N
ACC0000051   451761.48  0.010314 23N
ACC0000052   348339.26  0.008234  7N
ACC0000053    43967.05  0.007045  1N
ACC0000054   155427.38  0.009670 14Y
ACC0000055   476024.01  0.010118  3N
ACC0000056    22080.87  0.006965  4N
ACC0000057   187882.92  0.010515 31N
ACC0000058    89792.97  0.011085 36N
ACC0000059   164072.68  0.011727 30N
ACC0000060   128781.93  0.004489  6N
ACC0000061   238765.07  0.007942 26N
ACC0000062   490274.52  0.004068 43N
ACC0000063   434643.89  0.004532  3N
ACC0000064   228702.12  0.011895  6N
ACC0000065   128647.03  0.009123 28Y
ACC0000066   124136.73  0.006421 29N
ACC0000067    51589.94  0.008147 35Y
ACC0000068   438647.02  0.009168  0N
ACC0000069   159631.59  0.005244 26N
ACC0000070   144443.38  0.007705  3Y
ACC0000071     2446.44  0.007594 16N
ACC0000072   306350.94  0.006491 27N
ACC0000073   491233.81  0.011714 35N
ACC0000074   327599.65  0.005123 12N
ACC0000075    40247.47  0.009573 34Y
ACC0000076   211456.62  0.004099  3N
ACC0000077   338457.17  0.009069 10Y
ACC0000078   341797.93  0.004340 11Y
ACC0000079    46607.76  0.010580 15N
ACC0000080   383302.69  0.006082 37N
ACC0000081   416659.89  0.004360 26N
ACC0000082   380317.36  0.008982 20N
ACC0000083   138076.02  0.010523 45N
ACC0000084   179250.88  0.007650  8N
ACC0000085   202324.63  0.008294 20N
ACC0000086    49682.86  0.003598 29N
ACC0000087   378818.63  0.004548  4N
ACC0000088   340493.47  0.006281  8N
ACC0000089    47165.06  0.006062 23N
ACC0000090   295060.68  0.009196 45N
ACC0000091   439876.07  0.009046  0N
ACC0000092   373187.29  0.006639 42Y
ACC0000093    91121.24  0.006273  7N
ACC0000094    499227.4  0.009301  9N
ACC0000095   406894.42  0.005709 45N
ACC0000096   462371.51  0.010150 16N
ACC0000097   169524.61  0.004033  5N
ACC0000098   186676.95  0.003962  0N
ACC0000099    88791.58  0.010181 16Y
ACC0000100   297510.79  0.009285 45N
